Author,Content,Date,Linked Messages,Message ID,ThreadTitle,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at,Sentiment
SeekingPeace164,"It shouldn't affect your face much, really. Most of the damage is done inside the brain, not on the face","Jul 17, 2024 at 10:54 PM",,2600118,How much does a 9mm gun in the mouth mess up the appearance of your face?,,,,,,,,17,1,2024-10-02T03:31:21.998482Z,11,15.582,no enough information,2024-10-02T03:31:21.998482Z,5
ijustwishtodie,"I hate at how overprotective they are as it makes it even more unlikely for me to ctb. For those who are unaware, not every culture has it where parents kick their child out as soon as they are 18. Some cultures have it where the parents make their child stay with them beyond 18. My parents are an example of this as they don't want me to be independent yet. I live with them despite being an adult and they always keep an eye on me. I can't leave the house without giving them a reason for it first nor can I leave the house during night time either due to my parents being light sleepers. And, no, don't tell me to just go outside anyway... that wouldn't work in asian culture.

This is a big deal for me because this further reduces my chances of killing myself. I just want to be dead so that I don't have to deal with life but killing myself is literally almost impossible for me. Despite me not wage slaving, I still am a slave in a lot of other ways. I'm forced to do things I don't want to do such as religious bullshit, chores, going outside with family and so on. I'm also a slave in the sense that I'm forced to survive in a life that I never wanted to begin with.

I hate the idea of independence and I don't want to be fully independent but it would be nice if I could be independent enough to where I don't have to deal with my parents reducing my chances of being dead. Though, I don't have the skills nor motivation to be independent. I just want to skip all of this bs and be dead already. I just want peace.

I really relate to what @locked*n*loaded said about FC being homebound as I'm in the same situation. Ever since he made that post, I've been thinking about it everyday and today I gained the courage to post about it. This is his post that I'm referring to:
Does anybody what happened to Funeral Cry ?
I have to say I miss FC’s never ending posts about hating existence, I wonder why I don’t see them anymore, I know some people were annoyed but I understood her pain and her hatred of existence.
sanctioned-suicide.net","Jul 16, 2024 at 9:48 AM",,2598323,Me living with overprotective asian parents is so annoying,,,,,,,,18,1,2024-10-02T03:34:11.772822Z,12,278.997,"{""choices"":[""1 wish to be death?"",""2 thoughts about killing yourself?"",""thinking about how you might do this?"",""medium risk""]}",2024-10-02T04:01:32.498509Z,2
Sylveon,I feel ya,"Jul 16, 2024 at 10:16 AM", my parents don't allow me to even close my door. :'),2598347,Me living with overprotective asian parents is so annoying,,,,,,,,19,1,2024-10-02T03:34:26.695204Z,13,12.293,supportive,2024-10-02T18:19:25.133199Z,5
General Alek,"you are asian?

interesting

I tend to like asians....they tend to be pretty honourable","Jul 16, 2024 at 10:35 AM",,2598358,Me living with overprotective asian parents is so annoying,,,,,,,,20,1,2024-10-02T03:34:42.735891Z,14,10.954,no enough information,2024-10-02T03:34:42.735891Z,5
Green Destiny,Yeah I get where you're coming from. I live with my mom but she's very overprotective and slightly paranoid about everything in everyday life. I barely get to go out and do things that isn't work related or grocery shopping.,"Jul 16, 2024 at 11:09 AM",,2598389,Me living with overprotective asian parents is so annoying,,,,,,,,21,1,2024-10-02T03:35:11.515200Z,15,23.456,no enough information,2024-10-02T03:35:11.515200Z,5
ijustwishtodie,"Yep
How so?","Jul 16, 2024 at 11:13 AM",2598358,2598394,Me living with overprotective asian parents is so annoying,,,,2598358,,,,22,1,2024-10-02T03:35:21.017595Z,16,4.176,no enough information,2024-10-02T03:35:21.017595Z,5
General Alek,"they don't seem to lie or steal much

they don't seem to troll you or fuck with you","Jul 16, 2024 at 11:45 AM",2598394,2598432,Me living with overprotective asian parents is so annoying,,,,,,,,23,1,2024-10-02T03:35:42.186503Z,17,15.922,no enough information,2024-10-02T03:35:42.186503Z,5
sserafim,"Asians are the NPCest of NPCs lol (I'm Asian as well). They're very traditional and rigid in their thinking. They're conformist af. They value things like career and professional success, and their lives revolve around it. Their whole life is about conforming to society's norms and life script: career, partner, children, family, and they expect everyone to do the same. My normie family tries to force me to get a job in order to become a wageslave. It's annoying how they try to impose their ideals, standards and way of life onto me. So what if I don't conform to the norm? I don't know why they hate me for being nonconformist and different. Being different isn't being bad","Jul 16, 2024 at 11:52 AM",2598432,2598440,Me living with overprotective asian parents is so annoying,,,,,,,,24,1,2024-10-02T03:36:17.269192Z,18,40.792,supportive,2024-10-02T18:20:01.936624Z,5
ijustwishtodie,Unfortunately my parents don't fit that criteria. My parents are stealing my neetbux and I have no say in it. I can't be a neet because of them and so my only option is to rope... but even that is difficult to do,"Jul 16, 2024 at 2:51 PM",2598432,2598578,Me living with overprotective asian parents is so annoying,,,,,,,,25,1,2024-10-02T03:36:30.805941Z,19,8.454,no enough information,2024-10-02T03:36:30.807452Z,5
jar-baby,"I'm so sorry. I completely relate, especially to the needing-to-do-religious-bullshit part. My inner state means I'm also unmotivated to pursue independence and I don't know if I have the skills to successfully do so either, though I'm trying to some extent (partially because I hate the thought of my life ending while under their thumb—never having had the opportunity to live on my own terms).

Feel you on this too. I think a lot of people who were raised in Western cultures don't really get it. It's an all-or-nothing kind of a thing for me—I'm burning these bridges completely, or I'm killing myself. There's no third option.","Jul 16, 2024 at 3:10 PM",2598323,2598598,Me living with overprotective asian parents is so annoying,,,,,,,,26,1,2024-10-02T03:37:31.894861Z,20,66.648,"{""choices"":[""1 wish to be death?"",""2 thoughts about killing yourself?"",""low risk"",""supportive""]}",2024-10-02T18:20:20.731930Z,1
Minsu,"Are you east asian? (Kor, jap, china)","Jul 16, 2024 at 3:13 PM",,2598604,Me living with overprotective asian parents is so annoying,,,,,,,,27,1,2024-10-02T03:37:45.033219Z,21,7.919,no enough information,2024-10-02T03:37:45.033219Z,5
Dr Iron Arc,"I feel your pain bro. You know I'm Asian too but I'm lucky in that I only have one parent that I live with but I still have to check in with her anytime I want to go out or deviate from my routine in any way.

I think the only way for people like us to gain some temporary freedom is to accept a little bit of wageslavery at least just long enough to gain independence from our parents. This is more like indentured servitude in practice but the idea is still there. At least working in a part time job long enough until you can afford some better methods or even just a trip to Sweden or Denmark or whichever country had the suicide chambers seems like a good way out but I understand if this is still impossible for you as well.
Nah I'm Asian and I'm the least honorable pos I know. My abusive father is also Asian and that doesn't make him any more honorable either.","Jul 16, 2024 at 3:27 PM",2598358,2598633,Me living with overprotective asian parents is so annoying,,,,,,,,28,1,2024-10-02T03:38:51.797694Z,22,16.921.599.999.999.900,"{""choices"":[""2 thoughts about killing yourself?"",""started to work or did you intent to carry out this plan?"",""high risk"",""supportive""]}",2024-10-02T18:21:17.744080Z,3
Silent.Tears,"I can't tell you how much I can relate to you.
Fortunately, I moved out but they still are controlling. They show up anytime they choose to do so, and destroy whatever confidence I've built in the meantime away from them. I'm so done!","Jul 16, 2024 at 3:53 PM",,2598672,Me living with overprotective asian parents is so annoying,,,,,,,,29,1,2024-10-02T03:39:06.149901Z,23,14.443.999.999.999.900,supportive,2024-10-02T18:21:24.203769Z,5
damienlerone03,same,"Jul 17, 2024 at 12:26 AM",2598347,2599074,Me living with overprotective asian parents is so annoying,,,,,,,,30,1,2024-10-02T03:39:15.713479Z,24,4.536,no enough information,2024-10-02T03:39:15.713479Z,5
Csmith8827,Wait aren't you like 35+ years old?,"Jul 17, 2024 at 5:52 PM",2599074,2599866,Me living with overprotective asian parents is so annoying,,,,,,,,31,1,2024-10-02T03:39:28.500446Z,25,7.591,no enough information,2024-10-02T03:39:28.500446Z,5
damienlerone03,bro im 18,"Jul 17, 2024 at 8:55 PM",2599866,2600045,Me living with overprotective asian parents is so annoying,,,,,,,,32,1,2024-10-02T03:39:37.630235Z,26,4.015,no enough information,2024-10-02T03:39:37.630235Z,5
Csmith8827,Oh my bad the other night in chat I thought you had said you graduated in 06' or something...wrong person I guess.,"Jul 17, 2024 at 9:06 PM",2600045,2600059,Me living with overprotective asian parents is so annoying,,,,,,,,33,1,2024-10-02T03:39:51.730689Z,27,8.574,no enough information,2024-10-02T03:39:51.730689Z,5
damienlerone03,"Nah you're all good dw. Must've mistaken me for someone else lmao, i graduated hs like not even a month ago","Jul 17, 2024 at 10:35 PM",2600059,2600110,Me living with overprotective asian parents is so annoying,,,,,,,,34,1,2024-10-02T03:40:07.007238Z,28,10.177,no enough information,2024-10-02T03:40:07.007238Z,5
hoppybunny,"I'm not asian but I feel this. My parents are african so I'm also staying with them for a long time after I turn 18. I appreciate that a lot cause honestly but I think I've been mentally incapacitated by their overprotectiveness. I have super bad anxiety and I'm scared of everything. I also can't die but for religious reason not my parents always watching me. But yeah it really is all or nothing especially when westerners are like ""just tell them how you feel"" like bro do you think I wouldn't have done that if it was possible!?!?","Jul 24, 2024 at 11:11 PM",2598323,2608448,Me living with overprotective asian parents is so annoying,,,,,,,,35,1,2024-10-02T03:40:40.844225Z,29,35.13,supportive,2024-10-02T18:21:45.710076Z,5
kinderbueno,Same I get told off whenever I do and its just so frustrating. I'm an adult why am I not treated like one?,"Aug 7, 2024 at 6:30 AM",2598347,2622847,Me living with overprotective asian parents is so annoying,,,,,,,,36,1,2024-10-02T03:40:53.694384Z,30,15.861,supportive,2024-10-02T18:21:55.173242Z,5
mistymoo,Pls accept my yay! Reaction as a laughing one. Idk why but this comment sent me,"Aug 7, 2024 at 7:35 AM",2600045,2622894,Me living with overprotective asian parents is so annoying,,,,,,,,37,1,2024-10-02T03:41:08.541277Z,31,8.85,no enough information,2024-10-02T03:41:08.541277Z,5
No More Tears,"Have you considered taking up jogging as a reason to get out of house? You don't have to jog of course, but as a way to see if they will let you at least do that?","Aug 7, 2024 at 7:44 AM",,2622902,Me living with overprotective asian parents is so annoying,,,,,,,,38,1,2024-10-02T03:41:31.524336Z,32,32.168,supportive,2024-10-02T18:22:15.851520Z,5
todiefor,This is extremely offensive,"Aug 7, 2024 at 8:43 AM",2598460,2622941,Me living with overprotective asian parents is so annoying,,,,,,,,39,1,2024-10-02T03:41:46.103941Z,33,8.597,no enough information,2024-10-02T03:41:46.103941Z,5
mckf,"I'm Asian as well and I completely understand you as many of my friends have tiger parents and basically decide their childrens life and fate like puppets.

Funnily enough, my asian parents are the absolute opposite and barely cared about my existence, problems or life. They only wanted to make money for themselves and left me alone to care for myself when I was 15, while they worked around the country. They barely messaged, never worried about my health, studies, career, relationship, etc. They barely know me at all, I graduated alone and always celebrated my birthdays alone. I needed to provide for myself when I barely knew how to when I was so young. They would barely provide any assistance financially even for my deteriorating health. Then I ended up having a chronic health condition that will disable me as a result of all the stress and physical work.

Some Asian parents really don't care about the wellbeing of their children and have children for their own selfish reasons.","Aug 7, 2024 at 11:16 AM",2598323,2623071,Me living with overprotective asian parents is so annoying,,,,,,,,40,1,2024-10-02T03:42:33.459982Z,34,59.242,supportive,2024-10-02T18:22:35.765771Z,5
itsactuallyover127,"I'm not asian, I'm arab from north africa, but i really relate to you
my mom ruined my chance to be stable from my mental illnesses by taking away my medication and proceeded to lock me away from everyone out of shame of me.
best wishes to you. :(","Aug 7, 2024 at 11:25 AM",,2623076,Me living with overprotective asian parents is so annoying,,,,,,,,41,1,2024-10-02T03:42:55.093210Z,35,20.834,supportive,2024-10-02T18:22:41.893669Z,5
matheus,"In a death due to being run over by a train directly to the skull and jumping from a very tall building, which would bring a quicker and more painless death? (and yes, I know that both ethically would be bad for anyone cleaning up the mess) ps: used translate","Jul 17, 2024 at 5:52 PM",,2599867,A genuine question for discussion,,,,,,,,42,1,2024-10-02T03:47:12.531894Z,36,11.282.499.999.999.900,"{""choices"":[""2 thoughts about killing yourself?"",""started to work or did you intent to carry out this plan?"",""high risk""]}",2024-10-02T18:25:28.592634Z,3
KillingPain267,"If we assume the train decapitates your head clean off, and the jumping results in your head hitting the ground directly from enough height, it would be about the same. Your brain would physically cease functioning within a second or two. But the decapitation by train might take slightly longer assuming it cut your neck rather than crushed your skull (since being cut off from the heart and lungs results in hypoxia), while smashing into the ground results in all cognitive functioning ceasing immediately. If your brain stem and thalamus survives the impact of hitting the ground from a jump, you may be conscious for a little while just like with the train decapitation though.","Jul 17, 2024 at 5:58 PM",,2599873,A genuine question for discussion,,,,,,,,43,1,2024-10-02T03:47:53.737401Z,37,117.374,method,2024-10-02T18:25:39.000909Z,5
FallingGrace,"I wouldn't do either but if I had to pick, I'd for sure go train.
Jumping:
Risk of tumbling during free fall, re-positioning the body to feet-first rather than head-first
Risk of intervention (roof access, good Samaritans below and above)
Risk of environment below changing during attempt, especially in urban area (cars or people, killing bystanders, concrete becoming more shock-absorptive metal slightly increases chances of survival)
Risk of environment below impeding death (impalement on an otherwise unseen obstacle would lead to a considerably slower death)
Time spent free-falling may in itself could be considered painful
Messy but can be somewhat contained depending on the area done in
Time: relatively quick. If unseen, SI can be handled on your own clock and then it's a matter of seconds when you've jumped, granted you jumped high enough to cause fatal injuries.
Train:
High lethality if done correctly (positioning neck over track etc)
Train cannot be stopped easily/long break distance, reducing intervention risk
Minimal risk of killing any bystanders (just mentally scarring them, I guess)
Messy for everyone involved (especially so if you just straight up jump full body in front of one)
Time: complicated. Trains have differing frequencies depending where you are, or a station vs just a random line. They are also protected by trespassing laws. Once you do it though, I imagine it's lights out pretty quickly unless you fuck it up.
Hope that helps","Jul 17, 2024 at 6:18 PM",,2599903,A genuine question for discussion,,,,,,,,44,1,2024-10-02T03:48:21.787782Z,38,22.912,"{""choices"":[""1 wish to be death?"",""low risk""]}",2024-10-02T03:48:21.787782Z,1
blacksand,I tried with a train and failed. The SI was too strong. The rails felt like they were red hot because of vibration and the noise was overwhelming.,"Jul 17, 2024 at 7:16 PM",,2599959,A genuine question for discussion,,,,,,,,45,1,2024-10-02T03:51:17.586513Z,39,78.684,"{""choices"":[""done, started or prepared to do anything to end your life?"",""medium risk""]}",2024-10-02T04:03:37.709246Z,2
locked*n*loaded,"I think your best shot at a train ctb would certainly be at night, and in a remote area. You really need to start with a stopped train. Eventually, that train is going to start moving again. It shouldn't make any difference which railcar you choose. I'd choose one away from the engine though. Neck right on the track in front of a wheel. I don't think I could go by this method, though, not because of potentially traumatizing anyone, but just because it gives me the ""heebie-jeebies"" thinking about it.","Jul 17, 2024 at 8:45 PM",,2600034,A genuine question for discussion,,,,,,,,46,1,2024-10-02T03:52:08.787987Z,40,52.993,method,2024-10-02T18:25:52.102822Z,5
bakedaz_jr,"I certainly agree with this. I had a very similar experience, the rails were hot and vibrating, the train driver was honking the horn non-stop and I just closed my eyes and waited for the impact, but then all of sudden I was thrown off the tracks into a fence (most likely SI and probably also that I did not take into account the pressure wave that tries to blow you away as the train get closer to you)","Jul 17, 2024 at 10:17 PM",2599959,2600102,A genuine question for discussion,,,,,,,,47,1,2024-10-02T03:53:06.262131Z,41,67.975,"{""choices"":[""done, started or prepared to do anything to end your life?"",""low risk""]}",2024-10-02T04:03:55.655764Z,1
phersper,"I wasn't warned, I wasn't warned by my psychiatrist that I could end up like that, agonizing every minute of every second of every single day.

Antidepressants and other psych drugs damaged my brain and put me in a position I wouldn't wish not even to my worst enemy.

My sexuality has been obliterated: total loss of libido, erectile dysfunction, reduced sensitivity in genitalia, pleasureless orgasms. Sadly that's just the tip of the iceberg. The main problem here is that my body cannot produce any kind of pleasurable feeling because of the malfunctioning of the brain reward system. I know it seems like it can't be real, but trust me, I can't really enjoy not even a single thing in my life because my reward/dopamine pathaway has been somehow altered. I can't feel hungry or enjoy a (good) meal, I can't feel the endorphins rush/good sensations after a sport session, I can't feel the effect of most drugs (coffee, nicotine, alcohol, heroin, you name it…). My body is always in a state of tension (or light akathisia) thus I never ever fully relax, no matter how hard I worked or did exercise that day, I have persistent insomnia and my sleep is more like a shift in consciousness than real deep resting sleep. I'm always weak and tired. Except for some rare bursts of rage or sadness, I lost my emotional range, I can't really feel emotional pain, true sadness, joy, happiness, tranquility. There's no atmosphere anymore in the world, everything became grey, muted. There's no motivation, no drive, no emotions, no pleasure in every activity I once loved, like spending time with my friends and family, go out for a drink, cuddling my beloved dog, playing my favourite sports, watching my favourite movies, reading a good book, getting a full body massage, hiking in the beautiful swiss alps, etc. (the list has no end). On top of that I also suffer from a certain degree of cognitive decline, I struggle to read, sometimes I stumble upon words, I can't concentrate, I really feel like I lost part of my intelligence and I'm definitely not as brilliant as I used to be. I had to quit University 6 months prior to get my master's degree because my brain was not capable to perform at the required level.

It's been a year I'm off the meds which caused me pssd and everything almost stayed the same. Some things have slightly improved, others got worse. What is clear is that I became an empty shell, the shadow of my former self, a dead soul in a living body.
I really want to live because I had everything I wished for before I got PSSD (and believe me, I worked very hard and I overcame loads of shit just to get to that point), but at the same time I want to die as badly as I can. In these last months, where I had a bit more physical energy I tried to do regular exercise, to be socially more active, to better my diet, to force my self to have a more positive look at the future. But still, no matter the efforts, there's never some sort of reward or real improvements in my condition. I've been severely anxious and depressed in the past, but that was a walk in the park compared to this full blown PSSD. Today, in the first place, my brain does not produce the required neurotransmitters in order to be goal driven, to have motivation, to enjoy things. Second of all, even if I put all my effort in order to be active and take part in different activities, there's not even a single drop of reward in return.

So what's the point of going on? I really can't get it. I don't know if you, reading this post, can grasp how hard and strenuous and depressing is to live with this condition, but I really hope you do.
I always fought hard in my life, no matter what, if I had to overcome an obstacle or if I wanted something, I always worked twice as harder as the others in order to reach my goal. But now… now even if I put all my effort, even if I give my 1000% to better my situation, the outcome will always be the same, no positive change, outcome or temporary feeling whatsoever.

As most people with PSSD I've been gaslighted by every psychiatrists. I even attempted to unalive myself once and I've been labelled as psychotic (even though I clearly wasn't) in a matter of minutes from the psychiatrist at the state mental hospital. There I was given tons of antipsychotics to the point I was barely able to talk, walk straight, keep my vision from going double, swallow food, tap on the iPhone keyboard, writing, sit still, etc.

Anyway the bad story is not over, I could go on recalling all the shit and the injustices I had to face in the last twelve months, because of pssd and because of being wrongly labelled as psychotic and forced on strong medications, but that's not the point of my thread.

Actually, I don't know what's the purpose of this post. I guess I'm looking for some sort of approval for my decision of ending it all… but most likely I just need to vent, to tell somebody how tired and agonizing I am.

I believe in reincarnation and I've been thought that ctb is never a solution, but gosh, that's just too much to tolerate. I look at my situation as if I was prisoner who's physically tortured daily since one year and who finally managed to fabricate a rope to hang himself in his cell, how could God blame (or punish) this poor prisoner for taking his own life?

I'm sorry for the lack of introduction or conclusion to this text, I hope it's not confusing. The thing is that I'm just venting, putting my flow of sad thoughts into words.

I wish everybody here to recover and go back to live their life to the fullest leaving suicidal ideations as a thing of the past, but just one last thing: please be careful when it comes to psychiatric drugs, think twice before starting any therapy, look up all the possible (short and long term) side effects, discuss it seriously with your entourage and make a true informed choice. Don't risk to waste your life as I sadly did.","Dec 9, 2023 at 4:05 PM",,2270826,PSSD is one of the cruelest thing on earth,,,,,,,,48,1,2024-10-02T03:55:36.051295Z,42,180.638,"{""choices"":[""1 wish to be death?"",""2 thoughts about killing yourself?"",""done, started or prepared to do anything to end your life?"",""medium risk""]}",2024-10-02T04:05:14.808424Z,2
FuneralCry,"That must be so horrible what you've been through, it certainly is so cruel how people have suffer so unbearably in this existence. But anyway best wishes.","Dec 9, 2023 at 4:29 PM",,2270869,PSSD is one of the cruelest thing on earth,,,,,,,,49,1,2024-10-02T03:55:54.903708Z,43,18.415,no enough information,2024-10-02T04:05:26.373730Z,5
exitplease,I am so sorry you went through this and got royally FUCKED by the system. Thank you for sharing. I wish I knew what to say.,"Dec 9, 2023 at 4:36 PM",,2270880,PSSD is one of the cruelest thing on earth,,,,,,,,50,1,2024-10-02T03:56:09.271300Z,44,13.129.999.999.999.900,supportive,2024-10-02T18:23:01.293429Z,5
stuckinthemud,I have severe dp/dr and anhedonia pssd from meds this is why I want to go too. They damaged me,"Dec 9, 2023 at 6:36 PM",,2271001,PSSD is one of the cruelest thing on earth,,,,,,,,51,1,2024-10-02T03:56:26.504408Z,45,12.223,"{""choices"":[""1 wish to be death?"",""low risk""]}",2024-10-02T03:56:26.504408Z,1
nostalgia addict,Which meds?,"Dec 9, 2023 at 6:37 PM",2271001,2271003,PSSD is one of the cruelest thing on earth,,,,,,,,52,1,2024-10-02T03:56:39.835798Z,46,7.922,no enough information,2024-10-02T03:56:39.835798Z,5
stuckinthemud,"Try micro dosing mushrooms, or NSI189
Citalopram then I was polydrugged","Dec 9, 2023 at 6:37 PM",2271003,2271005,PSSD is one of the cruelest thing on earth,,,,,,,,53,1,2024-10-02T03:57:00.381141Z,47,15.694,no enough information,2024-10-02T03:57:00.381141Z,5
R_N,"Thing that was the nail in the coffin for me was my sleep being destroyed by olanzapine. Since then I shut myself in mostly. Some things got better over time even sleep a little bit but it is nowhere near something you can actually call a sleep.

I got over anger and despair and live with it now, but seeking help was the worst thing I could have done. I always tell people to be careful with unatural crap they willingly take in their bodies. Plenty of examples on surviving antidepressants forum for you to see of people who got destroyed by meds.","Dec 9, 2023 at 6:54 PM",,2271020,PSSD is one of the cruelest thing on earth,,,,,,,,54,1,2024-10-02T04:06:55.432876Z,48,66.699,no enough information,2024-10-02T04:06:55.432876Z,5
phersper,"Same, it started with lexapro then polydrugged………. how long have you been suffering??
Beside sleeping you got any other long term issue because of the drug? I honestly think your sleep will get better and better over time, be patient, don't give up.","Dec 9, 2023 at 6:55 PM",2271005,2271021,PSSD is one of the cruelest thing on earth,,,,2271020,,,,55,1,2024-10-02T04:07:21.126467Z,49,23.47,supportive,2024-10-02T18:23:20.174793Z,5
R_N,"I lived like this since 2019 with slight improvement. I got eye dryness because of it. Bad sleep affects my body negatively over time, like bones recently. Being nauseous and disoriented is a normal day for me. I am only thankful I can at least think and form a sentence, enjoy some of my hobies. People who never experienced this don't know how it is at all. Sleep is one of the most crucial and basic things needed for functioning like eating is.

But yeah I got plenty of crap from meds like vision and digestion issues. Many more I won't name. Nothing comes close to being disabled by sleep issues for me. I got used to it but it is not something I would wish on my worst enemy.","Dec 9, 2023 at 7:05 PM",2271021,2271033,PSSD is one of the cruelest thing on earth,,,,,,,,56,1,2024-10-02T04:08:42.561624Z,50,36.457,no enough information,2024-10-02T04:08:42.561624Z,5
NumbItAll,That is horrible. It destroys your ability to feel and experience things correctly. I had an adverse reaction over a year ago from which I am still recovering. It was not as bad as PSSD but still quite serious. I feel like a checklist of symptoms doesn't even do it justice because it's unlike any normal feelings someone might experience. It's a disturbing malfunction like something is fundamentally broken. There's no warning that something like that might occur because doctors aren't even aware of it. They're barely aware of the basics of withdrawal/tapering. Everyone is too far up big pharma's asshole to care.,"Dec 10, 2023 at 1:53 PM",,2271879,PSSD is one of the cruelest thing on earth,,,,,,,,57,1,2024-10-02T04:13:54.491087Z,51,32.113,no enough information,2024-10-02T04:13:54.491087Z,5
qw3rty259,"Damn, shit's fucked. That's why i don't even think about popping any pills. I just read the side effects of the pills that people are taking and don't understand how can it help without making new problems. Some have tho whole lists of prescribed drugs and that just seems insane to me. Some drugs literally have ""depression"" as a side effect...

I'm wondering, why did you even tried the therapy that included drugs in the first place? It seems like you had it all figured out.","Dec 10, 2023 at 2:11 PM",,2271904,PSSD is one of the cruelest thing on earth,,,,,,,,58,1,2024-10-02T04:15:07.206429Z,52,62.198,no enough information,2024-10-02T04:15:07.206429Z,5
stuckinthemud,Adverse reaction 2016. I started healing but Covid got me in Jan 22 and an abusive relationship finished me off earlier this year. I've no hope of coming back now,"Dec 26, 2023 at 10:46 AM",2271021,2291744,PSSD is one of the cruelest thing on earth,,,,,,,,59,1,2024-10-02T04:17:30.284852Z,53,15.403,no enough information,2024-10-02T04:17:30.284852Z,5
